#{"t_start": 1773677719.898279, "env_id": "None"}
r,l,t
-0.5615,7,682.934738
-0.57851,7,730.511772
-0.554604,7,730.516304
-0.623832,7,730.522014
-0.53841,7,730.527257
-0.594379,7,730.532375
-0.663121,7,730.540462
-0.540862,7,730.545725
-0.613539,7,730.551081
-0.454764,7,730.559541
-0.571328,7,730.567228
-0.534719,7,730.575008
-0.455522,7,730.582993
-0.542651,7,730.590631
-0.516851,7,730.598207
-0.68928,7,730.605491
-0.634206,7,730.610156
-0.555729,7,730.614531
-0.445509,7,730.623009
-0.512602,7,730.633833
-0.526828,7,730.642229
-0.509869,7,765.351087
-0.52859,7,765.360416
-0.622209,7,765.37082
-0.654612,7,765.380947
-0.537339,7,765.391721
-0.590205,7,765.400503
-0.596359,7,765.416816
-0.501094,7,765.430775
-0.508695,7,765.442534
-0.663452,7,765.453627
-0.500038,7,765.462869
-0.5777,7,765.472868
-0.487308,7,765.481838
-0.543361,7,765.491606
-0.585478,7,765.501595
-0.603441,7,765.512522
-0.64356,7,765.525912
-0.505512,7,765.535709
-0.4708,7,765.544438
-0.477757,7,765.556282
-0.581909,7,847.532505
-0.504552,7,847.542245
-0.523684,7,847.552246
-0.526488,7,847.561758
-0.527063,7,847.571269
-0.602379,7,847.580837
-0.507049,7,847.590029
-0.563217,7,847.598302
-0.537641,7,847.604586
-0.470448,7,847.610855
-0.670312,7,847.620793
-0.526827,7,847.627079
-0.603946,7,847.635054
-0.410063,7,847.644883
-0.594464,7,847.653048
-0.480139,7,847.658501
-0.528027,7,847.665387
-0.483965,7,847.670896
-0.65136,7,847.676524
-0.539739,7,847.685053
